Epoch: 1 Validation mean loss 2.845
Epoch: 2
Type: Pos,cost: 0.711460, total cost: 6.776327
Type: Chunk,cost: 0.497405, total cost: 34.864475
Type: Chunk,cost: 0.337905, total cost: 61.155927
Type: Chunk,cost: 0.373887, total cost: 86.341420
Type: Pos,cost: 0.565946, total cost: 109.160997
Type: Chunk,cost: 0.468036, total cost: 130.528702
Type: Pos,cost: 0.391272, total cost: 149.555161
Type: Pos,cost: 0.402420, total cost: 168.206793
Type: Pos,cost: 0.382887, total cost: 185.865376
Type: Pos,cost: 0.318702, total cost: 202.261519
Epoch: 2 Training mean loss: 0.430
Epoch: 2 Validation mean loss 2.896
Epoch: 3
Type: Chunk,cost: 0.280468, total cost: 3.675728
Type: Chunk,cost: 0.322771, total cost: 20.127440
Type: Chunk,cost: 0.194572, total cost: 34.832192
Type: Chunk,cost: 0.256993, total cost: 50.683884
Type: Chunk,cost: 0.345197, total cost: 65.022654
Type: Chunk,cost: 0.371961, total cost: 80.273792
Type: Chunk,cost: 0.231461, total cost: 93.517369
Type: Chunk,cost: 0.322206, total cost: 107.071314
Type: Chunk,cost: 0.288800, total cost: 119.778869
Type: Chunk,cost: 0.187965, total cost: 131.750424
Epoch: 3 Training mean loss: 0.283
Epoch: 3 Validation mean loss 3.028
Epoch: 4
Type: Pos,cost: 0.236411, total cost: 3.626425
Type: Chunk,cost: 0.249131, total cost: 16.539394
Type: Pos,cost: 0.172019, total cost: 27.920949
Type: Pos,cost: 0.310445, total cost: 40.519808
Type: Chunk,cost: 0.313365, total cost: 51.888959
Type: Pos,cost: 0.237641, total cost: 64.362650
Type: Pos,cost: 0.194748, total cost: 75.024606
Type: Pos,cost: 0.182230, total cost: 86.335913
Type: Pos,cost: 0.188822, total cost: 96.738085
Type: Pos,cost: 0.163205, total cost: 106.587064
Epoch: 4 Training mean loss: 0.230
Epoch: 4 Validation mean loss 2.797
Epoch: 5
Type: Chunk,cost: 0.194532, total cost: 2.193698
Type: Pos,cost: 0.226512, total cost: 12.912168
Type: Chunk,cost: 0.171467, total cost: 23.451333
Type: Chunk,cost: 0.233388, total cost: 35.016165
Type: Chunk,cost: 0.260254, total cost: 45.174394
Type: Chunk,cost: 0.314074, total cost: 56.139579
Type: Pos,cost: 0.140494, total cost: 65.798858
Type: Pos,cost: 0.142486, total cost: 76.173830
Type: Chunk,cost: 0.227589, total cost: 86.147842
Type: Chunk,cost: 0.156314, total cost: 95.983015
Epoch: 5 Training mean loss: 0.208
Epoch: 5 Validation mean loss 2.993
Epoch: 6
Type: Pos,cost: 0.204771, total cost: 2.249875
Type: Chunk,cost: 0.199613, total cost: 11.889851
Type: Chunk,cost: 0.131692, total cost: 20.850405
Type: Pos,cost: 0.220122, total cost: 31.525671
Type: Pos,cost: 0.184047, total cost: 40.854377
Type: Chunk,cost: 0.282493, total cost: 50.911972
Type: Pos,cost: 0.132178, total cost: 59.983278
Type: Pos,cost: 0.122317, total cost: 69.434256
Type: Chunk,cost: 0.179260, total cost: 78.756497
Type: Chunk,cost: 0.134550, total cost: 87.238026
Epoch: 6 Training mean loss: 0.189
Epoch: 6 Validation mean loss 2.990
Epoch: 7
Type: Pos,cost: 0.150593, total cost: 1.892205
Type: Chunk,cost: 0.194391, total cost: 10.116937
Type: Chunk,cost: 0.134823, total cost: 18.871659
Type: Pos,cost: 0.196025, total cost: 28.164313
Type: Pos,cost: 0.152964, total cost: 36.730728
Type: Pos,cost: 0.182629, total cost: 46.268236
Type: Chunk,cost: 0.154221, total cost: 54.604699
Type: Pos,cost: 0.107373, total cost: 63.170963
Type: Chunk,cost: 0.156022, total cost: 71.511268
Type: Pos,cost: 0.154674, total cost: 79.293480
Epoch: 7 Training mean loss: 0.172
Epoch: 7 Validation mean loss 3.133
Epoch: 8
Type: Chunk,cost: 0.172139, total cost: 1.954633
Type: Pos,cost: 0.171167, total cost: 10.003765
Type: Chunk,cost: 0.104092, total cost: 17.456668
Type: Chunk,cost: 0.215875, total cost: 26.700497
Type: Pos,cost: 0.156977, total cost: 34.808020
Type: Chunk,cost: 0.242609, total cost: 44.142595
Type: Pos,cost: 0.144784, total cost: 52.829611
Type: Chunk,cost: 0.246886, total cost: 61.176641
Type: Pos,cost: 0.167889, total cost: 69.392524
Type: Pos,cost: 0.132056, total cost: 76.864599
Epoch: 8 Training mean loss: 0.168
Epoch: 8 Validation mean loss 3.191
Epoch: 9
Type: Chunk,cost: 0.111739, total cost: 1.758974
Type: Chunk,cost: 0.186938, total cost: 9.305782
Type: Pos,cost: 0.142305, total cost: 16.910462
Type: Pos,cost: 0.204092, total cost: 25.533424
Type: Chunk,cost: 0.250024, total cost: 33.225851
Type: Pos,cost: 0.158543, total cost: 41.400592
Type: Pos,cost: 0.106473, total cost: 49.313824
Type: Chunk,cost: 0.181829, total cost: 57.043351
Type: Chunk,cost: 0.143633, total cost: 64.482645
Type: Pos,cost: 0.124562, total cost: 72.019118
Epoch: 9 Training mean loss: 0.156
Epoch: 9 Validation mean loss 3.203
Epoch: 10
Type: Pos,cost: 0.151925, total cost: 1.490769
Type: Chunk,cost: 0.157995, total cost: 8.601838
Type: Pos,cost: 0.108286, total cost: 16.059056
Type: Pos,cost: 0.178679, total cost: 24.168002
Type: Pos,cost: 0.126640, total cost: 31.652474
Type: Pos,cost: 0.136035, total cost: 40.087796
Type: Chunk,cost: 0.174454, total cost: 47.641169
Type: Chunk,cost: 0.165147, total cost: 54.972501
Type: Chunk,cost: 0.124649, total cost: 61.933234
Type: Chunk,cost: 0.170633, total cost: 68.687643
Epoch: 10 Training mean loss: 0.149
Epoch: 10 Validation mean loss 3.164
Epoch: 11
Type: Pos,cost: 0.162875, total cost: 1.562040
Type: Chunk,cost: 0.148313, total cost: 8.159960
Type: Pos,cost: 0.120031, total cost: 14.537107
Type: Chunk,cost: 0.165991, total cost: 22.057786
Type: Pos,cost: 0.112967, total cost: 28.966567
